village_id,slug,name,country,lat,lng,date,pending,marker_type,portal_url
65,dunayivtsi-dunaivtsi-khmelnytskyi-ukraine,Dunayivtsi (Dunaivtsi),Ukraine,48.528339,26.486561,,0,2,http://www.yahadmap.org/en/dunayivtsi-dunaivtsi-khmelnytskyi-ukraine/village-65
65,dunayivtsi-dunaivtsi-khmelnytskyi-ukraine,Dunayivtsi (Dunaivtsi),Ukraine,48.528561,26.486210,,0,2,http://www.yahadmap.org/en/dunayivtsi-dunaivtsi-khmelnytskyi-ukraine/village-65
66,dyven-diven-rivne-ukraine,Dyven  (Diven),Ukraine,50.406200,26.501930,,0,2,http://www.yahadmap.org/en/dyven-diven-rivne-ukraine/village-66
66,dyven-diven-rivne-ukraine,Dyven  (Diven),Ukraine,50.414860,26.499041,,0,1,http://www.yahadmap.org/en/dyven-diven-rivne-ukraine/village-66
67,dzhulynka-dzhulinka-vinnytsia-ukraine,Dzhulynka (Dzhulinka),Ukraine,48.256618,29.454790,,0,1,http://www.yahadmap.org/en/dzhulynka-dzhulinka-vinnytsia-ukraine/village-67
68,yevpatroia-eupatoria-crimea-ukraine,Yevpatroia (Eupatoria),Ukraine,45.128670,33.216839,,0,2,http://www.yahadmap.org/en/yevpatroia-eupatoria-crimea-ukraine/village-68
69,feodosiya-feodosia-crimea-ukraine,Feodosiya (Feodosia),Ukraine,45.029900,35.212372,,0,2,http://www.yahadmap.org/en/feodosiya-feodosia-crimea-ukraine/village-69
,,Hanno-Pokrovka,Ukraine,47.069649,30.278601,2011,1,2,
71,haysyn-gaysin-gaisin-vinnytsia-ukraine,"Haysyn (Gaysin, Gaisin)",Ukraine,48.490761,29.242950,,0,2,http://www.yahadmap.org/en/haysyn-gaysin-gaisin-vinnytsia-ukraine/village-71
73,gnivan-vinnytsia-ukraine,Gnivan,Ukraine,49.058750,28.221411,,0,1,http://www.yahadmap.org/en/gnivan-vinnytsia-ukraine/village-73
74,holobutiv-ho-obutow-golobutov-lviv-ukraine,"Holobutiv (Hołobutów, Golobutov)",Ukraine,49.165749,23.456800,,0,2,http://www.yahadmap.org/en/holobutiv-ho-obutow-golobutov-lviv-ukraine/village-74
77,holovne-volyn-ukraine,Holovne,Ukraine,51.201759,24.046360,,0,1,http://www.yahadmap.org/en/holovne-volyn-ukraine/village-77
77,holovne-volyn-ukraine,Holovne,Ukraine,51.204281,24.041969,,0,1,http://www.yahadmap.org/en/holovne-volyn-ukraine/village-77
78,horlivka-gorlivka-gorlovka-donetsk-ukraine,"Horlivka (Gorlivka, Gorlovka)",Ukraine,48.205780,38.040569,2011,0,2,http://www.yahadmap.org/en/horlivka-gorlivka-gorlovka-donetsk-ukraine/village-78
79,horodok-gorodok-khmelnytskyi-ukraine,Horodok (Gorodok),Ukraine,49.087002,26.343660,2008,0,2,http://www.yahadmap.org/en/horodok-gorodok-khmelnytskyi-ukraine/village-79
80,horokhiv-gorokhov-volyn-ukraine,Horokhiv (Gorokhov),Ukraine,50.298019,24.453991,2007,0,1,http://www.yahadmap.org/en/horokhiv-gorokhov-volyn-ukraine/village-80
80,horokhiv-gorokhov-volyn-ukraine,Horokhiv (Gorokhov),Ukraine,50.295750,24.450670,2007,0,2,http://www.yahadmap.org/en/horokhiv-gorokhov-volyn-ukraine/village-80
81,gorynhrad-goryngrad-rivne-ukraine,Gorynhrad (Goryngrad),Ukraine,50.395119,26.304661,,0,1,http://www.yahadmap.org/en/gorynhrad-goryngrad-rivne-ukraine/village-81
82,hradivka-gradowka-formely-munchen-neudorf-mykolaiv-ukraine,"Hradivka (Gradowka, formely München, Neudorf)",Ukraine,47.230572,31.041100,,0,2,http://www.yahadmap.org/en/hradivka-gradowka-formely-munchen-neudorf-mykolaiv-ukraine/village-82
83,hraniv-granow-vinnytsia-ukraine,Hraniv (Granów),Ukraine,48.512348,29.345131,,0,1,http://www.yahadmap.org/en/hraniv-granow-vinnytsia-ukraine/village-83
83,hraniv-granow-vinnytsia-ukraine,Hraniv (Granów),Ukraine,48.512329,29.335390,,0,1,http://www.yahadmap.org/en/hraniv-granow-vinnytsia-ukraine/village-83
84,hranivka-granivka-rivne-ukraine,Hranivka (Granivka),Ukraine,50.151791,25.301510,,0,2,http://www.yahadmap.org/en/hranivka-granivka-rivne-ukraine/village-84
85,hrymailiv-grymailiv-grimailov-grymailov-grzymalov-ternopil-ukraine,"Hrymailiv (Grymailiv, Grimailov, Grymailov, Grzymalov)",Ukraine,49.198669,26.004200,,0,1,http://www.yahadmap.org/en/hrymailiv-grymailiv-grimailov-grymailov-grzymalov-ternopil-ukraine/village-85
85,hrymailiv-grymailiv-grimailov-grymailov-grzymalov-ternopil-ukraine,"Hrymailiv (Grymailiv, Grimailov, Grymailov, Grzymalov)",Ukraine,49.200748,26.010071,,0,1,http://www.yahadmap.org/en/hrymailiv-grymailiv-grimailov-grymailov-grzymalov-ternopil-ukraine/village-85
85,hrymailiv-grymailiv-grimailov-grymailov-grzymalov-ternopil-ukraine,"Hrymailiv (Grymailiv, Grimailov, Grymailov, Grzymalov)",Ukraine,49.196388,26.012230,,0,1,http://www.yahadmap.org/en/hrymailiv-grymailiv-grimailov-grymailov-grzymalov-ternopil-ukraine/village-85
86,hrytsiv-grytsiv-gritsev-grizew-khmelnytskyi-ukraine,"Hrytsiv (Grytsiv, Gritsev, Grizew)",Ukraine,49.579472,27.160810,,0,1,http://www.yahadmap.org/en/hrytsiv-grytsiv-gritsev-grizew-khmelnytskyi-ukraine/village-86
87,huliaivka-gouliayevka-odesa-ukraine,Huliaivka (Gouliayevka),Ukraine,47.044762,30.591351,,0,2,http://www.yahadmap.org/en/huliaivka-gouliayevka-odesa-ukraine/village-87
88,husyatyn-gusyatin-ternopil-ukraine,Husyatyn (Gusyatin),Ukraine,49.043499,26.121719,,0,1,http://www.yahadmap.org/en/husyatyn-gusyatin-ternopil-ukraine/village-88
,,Gvozdavka II,Ukraine,47.534180,30.046900,2011,1,1,
,,Gvozdavka II,Ukraine,47.531731,30.033171,2011,1,1,
,,Gvozdavka II,Ukraine,47.507278,30.041990,2011,1,1,
91,hirka-polanka-hirka-polonka-volyn-ukraine,Hirka Polanka (Hirka Polonka),Ukraine,50.414398,25.147091,,0,1,http://www.yahadmap.org/en/hirka-polanka-hirka-polonka-volyn-ukraine/village-91
92,illintsi-ilintsy-linitz-vinnytsia-ukraine,"Illintsi (Ilintsy, Linitz)",Ukraine,49.052910,29.126801,,0,2,http://www.yahadmap.org/en/illintsi-ilintsy-linitz-vinnytsia-ukraine/village-92
93,iltsi-ivano-frankivsk-ukraine,Iltsi,Ukraine,48.095341,24.459890,2005,0,2,http://www.yahadmap.org/en/iltsi-ivano-frankivsk-ukraine/village-93
94,ingulets-dnipropetrovsk-ukraine,Ingulets,Ukraine,47.429039,33.154449,,0,2,http://www.yahadmap.org/en/ingulets-dnipropetrovsk-ukraine/village-94
94,ingulets-dnipropetrovsk-ukraine,Ingulets,Ukraine,47.442719,33.147930,,0,1,http://www.yahadmap.org/en/ingulets-dnipropetrovsk-ukraine/village-94
95,ivangorod-ivanhorod-cherkasy-ukraine,Ivangorod (Ivanhorod),Ukraine,48.473701,29.471251,,0,1,http://www.yahadmap.org/en/ivangorod-ivanhorod-cherkasy-ukraine/village-95
96,ivanivka-lviv-ukraine,Ivanivka,Ukraine,49.339500,24.376801,,0,1,http://www.yahadmap.org/en/ivanivka-lviv-ukraine/village-96
97,ivanivka-former-yanchelovo-mykolaiv-ukraine,Ivanivka (Former Yanchelovo),Ukraine,47.223068,31.225710,,0,1,http://www.yahadmap.org/en/ivanivka-former-yanchelovo-mykolaiv-ukraine/village-97
,,Ivanivka (Odessa),Ukraine,46.588772,30.273750,2011,1,1,
